Term,TF,DF,IDF,TF-IDF
cemburu,1,1,1.47712,1.47712
suami,1,2,1.17609,1.17609
nekat,1,2,1.17609,1.17609
aniaya,1,2,1.17609,1.17609
istri,1,2,1.17609,1.17609
tewas,1,4,0.87506,0.87506
kaca,1,1,1.47712,1.47712
celaka,1,3,1.00000,1
api,1,2,1.17609,1.17609
kendara,1,1,1.47712,1.47712
mogok,1,1,1.47712,1.47712
rel,1,1,1.47712,1.47712
sinau,1,1,1.47712,1.47712
tangki,1,2,1.17609,1.17609
maut,1,2,1.17609,1.17609
jadi,1,2,1.17609,1.17609
sangka,1,2,1.17609,1.17609
edukasi,1,2,1.17609,1.17609
sehat,1,2,1.17609,1.17609
paguyuban,1,1,1.47712,1.47712
gelar,1,1,1.47712,1.47712
kemarau,1,2,1.17609,1.17609
ganggu,1,1,1.47712,1.47712
rakit,1,1,1.47712,1.47712
jual,1,2,1.17609,1.17609
senjata,1,1,1.47712,1.47712
ilegal,1,3,1.00000,1
harga,1,1,1.47712,1.47712
naik,1,3,1.00000,1
tengkar,1,1,1.47712,1.47712
duga,1,1,1.47712,1.47712
keren,1,2,1.17609,1.17609
rawat,1,1,1.47712,1.47712
budaya,1,1,1.47712,1.47712
pamer,1,1,1.47712,1.47712
keris,1,1,1.47712,1.47712
krisis,1,1,1.47712,1.47712
bersih,2,2,1.17609,2.35218
salur,1,1,1.47712,1.47712
bantu,1,1,1.47712,1.47712
dampak,1,1,1.47712,1.47712
seru,1,1,1.47712,1.47712
estafet,1,1,1.47712,1.47712
tangkap,1,3,1.00000,1
mata,1,1,1.47712,1.47712
tutup,1,1,1.47712,1.47712
optimis,1,1,1.47712,1.47712
investasi,1,2,1.17609,1.17609
aman,1,1,1.47712,1.47712
tani,1,2,1.17609,1.17609
basmi,1,1,1.47712,1.47712
hama,1,1,1.47712,1.47712
tikus,1,2,1.17609,1.17609
camat,1,1,1.47712,1.47712
nikmat,1,2,1.17609,1.17609
lobster,1,1,1.47712,1.47712
rawa,2,1,1.47712,2.95424
bakar,1,2,1.17609,1.17609
pening,1,1,1.47712,1.47712
depresi,1,1,1.47712,1.47712
pria,1,1,1.47712,1.47712
siaga,1,1,1.47712,1.47712
asap,1,1,1.47712,1.47712
tambang,1,1,1.47712,1.47712
marak,1,1,1.47712,1.47712
harus,1,1,1.47712,1.47712
legalitas,1,1,1.47712,1.47712
rawan,1,1,1.47712,1.47712
apar,1,1,1.47712,1.47712
emas,1,1,1.47712,1.47712
dukung,1,1,1.47712,1.47712
rekonstruksi,1,1,1.47712,1.47712
kasus,1,1,1.47712,1.47712
taksi,1,1,1.47712,1.47712
raih,1,1,1.47712,1.47712
menang,1,1,1.47712,1.47712
persik,1,1,1.47712,1.47712
manfaat,1,1,1.47712,1.47712
absen,1,1,1.47712,1.47712
gotong,1,1,1.47712,1.47712
sawah,1,2,1.17609,1.17609
gaet,1,1,1.47712,1.47712
investor,1,1,1.47712,1.47712
buat,1,2,1.17609,1.17609
insentif,1,1,1.47712,1.47712
luka,2,1,1.47712,2.95424
racik,1,1,1.47712,1.47712
edar,1,1,1.47712,1.47712
kosmetik,1,1,1.47712,1.47712
soto,1,1,1.47712,1.47712
organik,1,1,1.47712,1.47712
murah,1,1,1.47712,1.47712
animasi,1,1,1.47712,1.47712
cegah,1,1,1.47712,1.47712
banjir,1,1,1.47712,1.47712
bacok,1,1,1.47712,1.47712
guru,1,1,1.47712,1.47712
semester,1,1,1.47712,1.47712
