Terungkap Isi Surat Mahasiswi Yang Tewas di Kamar Kos,Negative
Kendalikan Laju Pertumbuhan Penduduk di Semarang Lewat KB Gratis,Positive
Ribuan Mahasiswa di Semarang Menulis Komitmen Anti Korupsi Pecahkan Rekor,Positive
"Berkah Semarang Panas, Penjual Minuman Dingin Laris",Positive
"Kebakaran Belum Padam, Mbak Ita Ngantor di TPA Jatibarang",Negative
"Akui Pernah Betemu Ketua KPK, Kombes Irwan Bantah jadi Perantara Eks Mentan Yasin Limpo",Negative
"Kombes Irwan Ngaku Pernah Bertemu Ketua KPK dan Mentan, Tapi Bantah Soal Penyerahan Uang",Negative
Kapolrestabes Semarang Buka Suara soal Dikaitkan Kasus Dugaan Pemerasan Pimpinan KPK terhadap SYL,Negative
Sesosok Mayat Pria Misterius di Pelabuhan Tanjung Emas Semarang Ditemukan ABK,Negative
"Jaringan Kota Pusaka Indonesia di Semarang, 73 Kabupaten dan Kota Pamerkan Produk UMKM",Positive
Ratusan Pelajar Meriahkan Konser Kemerdekaan ke-78 RI,Positive
"Edukasi Kesehatan, Paguyuban RS Gelar Public Health Fair",Positive
Ombudsman RI Beri Pembekalan Mahasiswa Fakultas Hukum Unnes,Positive
Pengumpulan Koin untuk Entaskan Kemiskinan Ekstrim,Negative
"Krisis Air Bersih di Jawa Tengah, BPBD Salurkan Bantuan Air Bersih untuk Warga Terdampak",Negative
Mahasiswi Kedokteran Ditemukan Tewas Di Kamar Kos,Negative
Seru! Lomba Estafet Air Hingga Tangkap Bebek Mata Tertutup,Positive
"Lebih Aman, Petani Basmi Hama Tikus dengan Gropyokan",Positive
"Satu Meja, Momen Zulhas Ditemani Ganjar",Positive
Menteri Bahlil Optimis Investasi 2023 Bakal Naik,Positive
"Harga Beras Mahal, Warga Semarang Beralih Beli Beras Medium",Negative
